CodigoLocalidad,CodigoRecinto,CodigoMesa,InscritosHabilitados,VotoValido,VotoBlanco,VotoNuloDirecto,VotoNuloDeclinacion,TotalVotoNulo,VotoEmitido,VotoValidoReal,VotoEmitidoReal
3804,25129,100014,264,93,2,4,0,4,99,93,99
3611,25055,100024,320,93,1,1,0,1,95,93,95
3611,25055,100034,320,86,0,6,0,6,92,86,92
3611,25055,100044,320,87,0,5,0,5,92,87,92
3611,25055,100054,320,85,1,11,0,11,97,85,97
3611,25055,100064,320,77,1,1,0,1,79,77,79
3611,25055,100074,320,96,1,2,0,2,99,96,99
3611,25055,100084,320,96,0,4,0,4,100,96,100
3611,25055,100094,320,81,1,3,0,3,85,81,85
3611,25055,100104,320,88,1,2,0,2,91,88,91
3611,25055,100114,288,81,0,5,0,5,86,81,86
3611,25056,100124,320,109,0,4,0,4,113,109,113
3611,25056,100134,320,110,1,4,0,4,115,110,115
3611,25056,100144,320,121,0,7,0,7,128,121,128
3611,25056,100154,320,101,1,9,0,9,111,101,111
3611,25056,100164,320,99,2,3,0,3,104,99,104
3611,25056,100174,320,99,1,12,0,12,112,99,112
3611,25056,100184,203,73,1,4,0,4,78,73,78
3611,25057,100194,320,99,0,2,0,2,101,99,101
3611,25057,100204,320,104,0,3,0,3,107,104,107
3611,25057,100214,320,105,2,4,0,4,111,105,111
3611,25057,100224,320,94,2,3,0,3,99,94,99
3611,25057,100234,320,114,1,7,0,7,122,114,122
3611,25057,100244,320,102,0,2,0,2,104,102,104
3611,25057,100254,320,95,0,1,0,1,96,95,96
3611,25057,100264,320,96,2,7,0,7,105,96,105
3611,25057,100274,278,97,1,7,0,7,105,97,105
3611,25058,100284,320,113,3,6,0,6,122,113,122
3611,25058,100294,320,135,1,4,0,4,140,135,140
3611,25058,100304,320,124,2,9,0,9,135,124,135
3611,25058,100314,320,107,5,8,0,8,120,107,120
3611,25058,100324,320,123,0,3,0,3,126,123,126
3611,25058,100334,320,118,1,11,0,11,130,118,130
3611,25058,100344,325,128,1,4,0,4,133,128,133
3611,25059,100384,320,116,0,7,0,7,123,116,123
3611,25059,100424,320,99,0,3,0,3,102,99,102
3611,25059,100434,283,93,1,2,0,2,96,93,96
3611,25157,100444,320,122,2,3,0,3,127,122,127
3611,25157,100454,320,107,1,6,0,6,114,107,114
3611,25157,100464,320,121,2,3,0,3,126,121,126
